key,title,authors,venue,year,type,doi,url,ee,title_clean,authors_clean,first_author,title_author_combined
conf/empirical /explainableai:method316,Explainable AI: Methods and Challenges - A Survey,Uma Davis | O. Davis | Sam Martinez | Frank Wilson,Empirical Methods in Natural Language Processing,2023,Conference Paper,10.1473/620936,https://dblp.org/rec/conf/empirical /explainableai:method316,https://doi.org/10.4469/238136,Explainable AI: Methods and Challenges - A Survey,Uma Davis | O. Davis | Sam Martinez | Frank Wilson,Uma Davis,Explainable AI: Methods and Challenges - A Survey Uma Davis
conf/wsdm/questionansweringsys481,Question Answering Systems using BERT,Alice Lee | T. Moore | C. Jackson | W. Johnson,WSDM,2022,Conference Paper,10.4814/877216,https://dblp.org/rec/conf/wsdm/questionansweringsys481,,Question Answering Systems using BERT,Alice Lee | T. Moore | C. Jackson | W. Johnson,Alice Lee,Question Answering Systems using BERT Alice Lee
conf/naacl/federatedlearningfor341,FEDERATED LEARNING FOR PRIVACY-PRESERVING ML,Jane Gonzalez | V. Harris | Emma Martin | Rachel Lee,NAACL,2020,Conference Paper,10.8502/323284,https://dblp.org/rec/conf/naacl/federatedlearningfor341,https://doi.org/10.7726/579563,FEDERATED LEARNING FOR PRIVACY-PRESERVING ML,Jane Gonzalez | V. Harris | Emma Martin | Rachel Lee,Jane Gonzalez,FEDERATED LEARNING FOR PRIVACY-PRESERVING ML Jane Gonzalez
conf/sigir/automl:automatedmach364,AutoML: Automated Machine Learning Systems,Zack Perez | Kate Smith | Alice Hernandez,SIGIR,2024,Conference Paper,10.4137/569776,https://dblp.org/rec/conf/sigir/automl:automatedmach364,https://doi.org/10.8222/522765,AutoML: Automated Machine Learning Systems,Zack Perez | Kate Smith | Alice Hernandez,Zack Perez,AutoML: Automated Machine Learning Systems Zack Perez
conf/acl/recommendationsystem442,A Study on Recommendation Systems with Collaborative Filtering,Kate Miller | Noah Garcia | Victor Jackson | Sam Miller,ACL,2024,Conference Paper,10.5353/294695,https://dblp.org/rec/conf/acl/recommendationsystem442,,A Study on Recommendation Systems with Collaborative Filtering,Kate Miller | Noah Garcia | Victor Jackson | Sam Miller,Kate Miller,A Study on Recommendation Systems with Collaborative Filtering Kate Miller
conf/iccv/questionansweringsys482,Question Answering Systems using BERT,Victor Martin | Noah Martin | Mary Sanchez,ICCV,2024,Conference Paper,10.8598/347419,https://dblp.org/rec/conf/iccv/questionansweringsys482,,Question Answering Systems using BERT,Victor Martin | Noah Martin | Mary Sanchez,Victor Martin,Question Answering Systems using BERT Victor Martin
conf/ieee trans/graphneuralnetworksf180,Graph Neural Networks for Social Network Analysis,E. Moore | Y. Miller | L. Sanchez,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,Conference Paper,10.3855/380486,https://dblp.org/rec/conf/ieee trans/graphneuralnetworksf180,https://doi.org/10.4251/331207,Graph Neural Networks for Social Network Analysis,E. Moore | Y. Miller | L. Sanchez,E. Moore,Graph Neural Networks for Social Network Analysis E. Moore
conf/computer v/recurrentneuralnetwo117,Recurrent Neural Networks for Sequence Modeling,Xavier Martinez | M. Miller | Tina Garcia,Computer Vision and Pattern Recognition,2024,Conference Paper,10.3927/249341,https://dblp.org/rec/conf/computer v/recurrentneuralnetwo117,,Recurrent Neural Networks for Sequence Modeling,Xavier Martinez | M. Miller | Tina Garcia,Xavier Martinez,Recurrent Neural Networks for Sequence Modeling Xavier Martinez
conf/iccv/asurveyofdeeplearnin75,A Survey of Deep Learning Techniques,Sam Martinez,ICCV,2021,Conference Paper,10.9122/436376,https://dblp.org/rec/conf/iccv/asurveyofdeeplearnin75,https://doi.org/10.1909/944832,A Survey of Deep Learning Techniques,Sam Martinez,Sam Martinez,A Survey of Deep Learning Techniques Sam Martinez
conf/eccv/neuralnetworksforima24,Neural Networks for Image Recognition,Tina Jones,ECCV,2024,Conference Paper,10.7600/825163,https://dblp.org/rec/conf/eccv/neuralnetworksforima24,https://doi.org/10.9411/380745,Neural Networks for Image Recognition,Tina Jones,Tina Jones,Neural Networks for Image Recognition Tina Jones
conf/kdd/questionansweringsys473,Question Answering Systems using BERT,K. Martin | Alice Gonzalez,KDD,2020,Conference Paper,10.2617/257924,https://dblp.org/rec/conf/kdd/questionansweringsys473,https://doi.org/10.2025/937899,Question Answering Systems using BERT,K. Martin | Alice Gonzalez,K. Martin,Question Answering Systems using BERT K. Martin
conf/iclr/questionansweringsys471,Question Answering Systems using BERT,Zack Moore | Mary Martin | Jack Brown | Jack Clark,ICLR,2023,Conference Paper,10.5768/999794,https://dblp.org/rec/conf/iclr/questionansweringsys471,https://doi.org/10.7567/674386,Question Answering Systems using BERT,Zack Moore | Mary Martin | Jack Brown | Jack Clark,Zack Moore,Question Answering Systems using BERT Zack Moore
conf/neural inf/gptmodelsfortextgene266,GPT Models for Text Generation,Sam Garcia | Alice Moore,Neural Information Processing Systems,2020,Conference Paper,10.6624/949826,https://dblp.org/rec/conf/neural inf/gptmodelsfortextgene266,,GPT Models for Text Generation,Sam Garcia | Alice Moore,Sam Garcia,GPT Models for Text Generation Sam Garcia
conf/internatio/anomalydetectionusin431,Anomaly Detection using Machine Learning,Alice Thomas | W. Sanchez,International Conference on Machine Learning,2020,Conference Paper,10.8125/708611,https://dblp.org/rec/conf/internatio/anomalydetectionusin431,https://doi.org/10.8572/357697,Anomaly Detection using Machine Learning,Alice Thomas | W. Sanchez,Alice Thomas,Anomaly Detection using Machine Learning Alice Thomas
conf/aaai/speechrecognitionwit563,Speech Recognition with Deep Learning,Tina White | J. Anderson | N. Davis | David Thomas,AAAI,2021,Conference Paper,10.5459/717019,https://dblp.org/rec/conf/aaai/speechrecognitionwit563,,Speech Recognition with Deep Learning,Tina White | J. Anderson | N. Davis | David Thomas,Tina White,Speech Recognition with Deep Learning Tina White
conf/journal of/automl:automatedmach370,AutoML: Automated Machine Learning Systems,A. Davis | Uma Williams | Peter Rodriguez | Bob Garcia,Journal of Machine Learning Research,2024,Conference Paper,10.7119/739165,https://dblp.org/rec/conf/journal of/automl:automatedmach370,,AutoML: Automated Machine Learning Systems,A. Davis | Uma Williams | Peter Rodriguez | Bob Garcia,A. Davis,AutoML: Automated Machine Learning Systems A. Davis
conf/acl/neuralarchitecturese381,Neural Architecture Search Techniques,J. Davis | X. Jones,ACL,2024,Conference Paper,10.1064/105558,https://dblp.org/rec/conf/acl/neuralarchitecturese381,https://doi.org/10.1753/692044,Neural Architecture Search Techniques,J. Davis | X. Jones,J. Davis,Neural Architecture Search Techniques J. Davis
conf/wsdm/timeseriesforecastin397,Time Series Forecasting with Deep Learning,P. Lee | Kate Taylor | Yara Jones | E. Lopez,WSDM,2020,Conference Paper,10.7205/201010,https://dblp.org/rec/conf/wsdm/timeseriesforecastin397,,Time Series Forecasting with Deep Learning,P. Lee | Kate Taylor | Yara Jones | E. Lopez,P. Lee,Time Series Forecasting with Deep Learning P. Lee
conf/neurips/naturallanguageproce224,Natural Language Processing with Transformers,Xavier Johnson | P. Thomas,NeurIPS,2024,Conference Paper,10.8763/723704,https://dblp.org/rec/conf/neurips/naturallanguageproce224,,Natural Language Processing with Transformers,Xavier Johnson | P. Thomas,Xavier Johnson,Natural Language Processing with Transformers Xavier Johnson
conf/journal of/machinelearningincom45,Machine Learning in Computer Vision,Uma Rodriguez,Journal of Machine Learning Research,2021,Conference Paper,10.7222/803825,https://dblp.org/rec/conf/journal of/machinelearningincom45,https://doi.org/10.1899/552006,Machine Learning in Computer Vision,Uma Rodriguez,Uma Rodriguez,Machine Learning in Computer Vision Uma Rodriguez
conf/cvpr/questionansweringsys489,Question Answering Systems using BERT,F. Davis | Sam Garcia | Carol Lopez | Victor Perez,CVPR,2022,Conference Paper,,https://dblp.org/rec/conf/cvpr/questionansweringsys489,https://doi.org/10.8168/411405,Question Answering Systems using BERT,F. Davis | Sam Garcia | Carol Lopez | Victor Perez,F. Davis,Question Answering Systems using BERT F. Davis
conf/emnlp/asurveyofdeeplearnin62,A Survey of Deep Learning Techniques,R. Williams | W. Garcia | Noah Sanchez,EMNLP,2020,Conference Paper,10.7836/114690,https://dblp.org/rec/conf/emnlp/asurveyofdeeplearnin62,https://doi.org/10.9651/432408,A Survey of Deep Learning Techniques,R. Williams | W. Garcia | Noah Sanchez,R. Williams,A Survey of Deep Learning Techniques R. Williams
conf/cvpr/explainableai:method323,Explainable AI: Methods and Challenges,Peter Wilson | Noah Thompson | Leo Jones,CVPR,2020,Conference Paper,10.1126/750210,https://dblp.org/rec/conf/cvpr/explainableai:method323,https://doi.org/10.5572/342199,Explainable AI: Methods and Challenges,Peter Wilson | Noah Thompson | Leo Jones,Peter Wilson,Explainable AI: Methods and Challenges Peter Wilson
conf/cikm/few-shotlearninginco290,Few-Shot Learning in Computer Vision,C. Thomas | Tina Thompson | Alice Perez | Victor Miller,CIKM,2020,Conference Paper,10.3234/235402,https://dblp.org/rec/conf/cikm/few-shotlearninginco290,,Few-Shot Learning in Computer Vision,C. Thomas | Tina Thompson | Alice Perez | Victor Miller,C. Thomas,Few-Shot Learning in Computer Vision C. Thomas
conf/ijcai/sentimentanalysiswit509,Sentiment Analysis with Deep Learning,J. Clark | Grace Jackson | Victor Jackson,IJCAI,2024,Conference Paper,10.7034/671003,https://dblp.org/rec/conf/ijcai/sentimentanalysiswit509,https://doi.org/10.6697/618055,Sentiment Analysis with Deep Learning,J. Clark | Grace Jackson | Victor Jackson,J. Clark,Sentiment Analysis with Deep Learning J. Clark
conf/naacl/imagesegmentationusi580,Image Segmentation using U-Net,I. Thomas | F. Clark | John Garcia | Leo Thomas,NAACL,2024,Conference Paper,10.6003/794822,https://dblp.org/rec/conf/naacl/imagesegmentationusi580,https://doi.org/10.3048/131784,Image Segmentation using U-Net,I. Thomas | F. Clark | John Garcia | Leo Thomas,I. Thomas,Image Segmentation using U-Net I. Thomas
conf/ieee trans/asurveyofdeeplearnin63,A Survey of Deep Learning Techniques,Z. Hernandez,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,Conference Paper,10.2051/232464,https://dblp.org/rec/conf/ieee trans/asurveyofdeeplearnin63,https://doi.org/10.6023/330956,A Survey of Deep Learning Techniques,Z. Hernandez,Z. Hernandez,A Survey of Deep Learning Techniques Z. Hernandez
conf/empirical /few-shotlearninginco286,Few-Shot Learning in Computer Vision,Yara Gonzalez | B. Thompson | Bob Rodriguez | Iris Perez,Empirical Methods in Natural Language Processing,2021,Conference Paper,10.6070/172094,https://dblp.org/rec/conf/empirical /few-shotlearninginco286,https://doi.org/10.6861/216820,Few-Shot Learning in Computer Vision,Yara Gonzalez | B. Thompson | Bob Rodriguez | Iris Perez,Yara Gonzalez,Few-Shot Learning in Computer Vision Yara Gonzalez
conf/internatio/textsummarizationusi554,Text Summarization using Neural Networks,J. Perez | G. Rodriguez,International Conference on Machine Learning,2021,Conference Paper,10.8069/577541,https://dblp.org/rec/conf/internatio/textsummarizationusi554,https://doi.org/10.8316/832379,Text Summarization using Neural Networks,J. Perez | G. Rodriguez,J. Perez,Text Summarization using Neural Networks J. Perez
conf/wsdm/recommendationsystem438,Recommendation Systems with Collaborative Filtering,I. White | F. Williams | L. Martinez | Emma Martinez,WSDM,2021,Conference Paper,10.7789/152219,https://dblp.org/rec/conf/wsdm/recommendationsystem438,https://doi.org/10.1302/388148,Recommendation Systems with Collaborative Filtering,I. White | F. Williams | L. Martinez | Emma Martinez,I. White,Recommendation Systems with Collaborative Filtering I. White
conf/icml/imagesegmentationusi579,Image Segmentation using U-Net,Jack Johnson | Zack Clark | D. Johnson | R. Wilson,ICML,2021,Conference Paper,10.3390/889647,https://dblp.org/rec/conf/icml/imagesegmentationusi579,https://doi.org/10.3224/653177,Image Segmentation using U-Net,Jack Johnson | Zack Clark | D. Johnson | R. Wilson,Jack Johnson,Image Segmentation using U-Net Jack Johnson
conf/wsdm/recurrentneuralnetwo111,Recurrent Neural Networks for Sequence Modeling,Victor Garcia | C. Williams,WSDM,2023,Conference Paper,,https://dblp.org/rec/conf/wsdm/recurrentneuralnetwo111,,Recurrent Neural Networks for Sequence Modeling,Victor Garcia | C. Williams,Victor Garcia,Recurrent Neural Networks for Sequence Modeling Victor Garcia
conf/acl/generativeadversaria169,Generative Adversarial Networks: A Survey,Alice Thomas | John Hernandez | Mary Perez,ACL,2021,Conference Paper,10.5421/663208,https://dblp.org/rec/conf/acl/generativeadversaria169,https://doi.org/10.9280/156218,Generative Adversarial Networks: A Survey,Alice Thomas | John Hernandez | Mary Perez,Alice Thomas,Generative Adversarial Networks: A Survey Alice Thomas
conf/naacl/anomalydetectionusin428,Anomaly Detection using Machine Learning,T. Wilson | Jack Miller | Jane Anderson,NAACL,2024,Conference Paper,10.1566/571283,https://dblp.org/rec/conf/naacl/anomalydetectionusin428,,Anomaly Detection using Machine Learning,T. Wilson | Jack Miller | Jane Anderson,T. Wilson,Anomaly Detection using Machine Learning T. Wilson
conf/artificial/knowledgegraphembedd457,Knowledge Graph Embeddings,Sam Lopez | S. Moore | Peter Smith | G. Rodriguez,Artificial Intelligence Journal,2021,Conference Paper,10.1491/162940,https://dblp.org/rec/conf/artificial/knowledgegraphembedd457,https://doi.org/10.9429/177707,Knowledge Graph Embeddings,Sam Lopez | S. Moore | Peter Smith | G. Rodriguez,Sam Lopez,Knowledge Graph Embeddings Sam Lopez
conf/iccv/neuralarchitecturese382,Neural Architecture Search Techniques,Victor Taylor | A. Moore | Grace Gonzalez,ICCV,2024,Conference Paper,10.3959/940050,https://dblp.org/rec/conf/iccv/neuralarchitecturese382,https://doi.org/10.8486/430022,Neural Architecture Search Techniques,Victor Taylor | A. Moore | Grace Gonzalez,Victor Taylor,Neural Architecture Search Techniques Victor Taylor
conf/emnlp/namedentityrecogniti519,Named Entity Recognition in NLP,Carol Martinez,EMNLP,2021,Conference Paper,10.9756/768682,https://dblp.org/rec/conf/emnlp/namedentityrecogniti519,https://doi.org/10.1100/665339,Named Entity Recognition in NLP,Carol Martinez,Carol Martinez,Named Entity Recognition in NLP Carol Martinez
conf/aaai/sentimentanalysiswit514,Sentiment Analysis with Deep Learning,Alice Thompson,AAAI,2022,Conference Paper,10.7353/862149,https://dblp.org/rec/conf/aaai/sentimentanalysiswit514,https://doi.org/10.6329/448502,Sentiment Analysis with Deep Learning,Alice Thompson,Alice Thompson,Sentiment Analysis with Deep Learning Alice Thompson
conf/neural inf/knowledgegraphembedd461,Knowledge Graph Embeddings,Carol Perez,Neural Information Processing Systems,2022,Conference Paper,10.2249/251248,https://dblp.org/rec/conf/neural inf/knowledgegraphembedd461,https://doi.org/10.8200/684955,Knowledge Graph Embeddings,Carol Perez,Carol Perez,Knowledge Graph Embeddings Carol Perez
conf/eccv/knowledgegraphembedd453,knowledge graph embeddings,A. Lee | John Moore | Tina Garcia,ECCV,2024,Conference Paper,10.8337/258875,https://dblp.org/rec/conf/eccv/knowledgegraphembedd453,https://doi.org/10.2042/903548,knowledge graph embeddings,A. Lee | John Moore | Tina Garcia,A. Lee,knowledge graph embeddings A. Lee
conf/cikm/neuralnetworksforima38,Neural Networks for Image Recognition,Mary Clark | P. Rodriguez | Frank Jones,CIKM,2024,Conference Paper,10.8393/851736,https://dblp.org/rec/conf/cikm/neuralnetworksforima38,https://doi.org/10.6600/359799,Neural Networks for Image Recognition,Mary Clark | P. Rodriguez | Frank Jones,Mary Clark,Neural Networks for Image Recognition Mary Clark
conf/naacl/gptmodelsfortextgene257,GPT Models for Text Generation,M. Gonzalez | I. Hernandez | S. Thompson,NAACL,2023,Conference Paper,,https://dblp.org/rec/conf/naacl/gptmodelsfortextgene257,https://doi.org/10.9032/894180,GPT Models for Text Generation,M. Gonzalez | I. Hernandez | S. Thompson,M. Gonzalez,GPT Models for Text Generation M. Gonzalez
conf/computer v/textsummarizationusi543,Text Summarization using Neural Networks,Frank Sanchez | Grace White,Computer Vision and Pattern Recognition,2024,Conference Paper,10.1768/427733,https://dblp.org/rec/conf/computer v/textsummarizationusi543,https://doi.org/10.2216/117282,Text Summarization using Neural Networks,Frank Sanchez | Grace White,Frank Sanchez,Text Summarization using Neural Networks Frank Sanchez
conf/www/graphneuralnetworksf178,Graph Neural Networks for Social Network Analysis,Quinn Gonzalez | Zack Rodriguez,WWW,2024,Conference Paper,10.2901/956021,https://dblp.org/rec/conf/www/graphneuralnetworksf178,https://doi.org/10.7295/895488,Graph Neural Networks for Social Network Analysis,Quinn Gonzalez | Zack Rodriguez,Quinn Gonzalez,Graph Neural Networks for Social Network Analysis Quinn Gonzalez
conf/journal of/namedentityrecogniti534,Named Entity Recognition in NLP - A Survey,V. Thompson | Z. Jones | Iris Davis,Journal of Machine Learning Research,2024,Conference Paper,,https://dblp.org/rec/conf/journal of/namedentityrecogniti534,,Named Entity Recognition in NLP - A Survey,V. Thompson | Z. Jones | Iris Davis,V. Thompson,Named Entity Recognition in NLP - A Survey V. Thompson
conf/aaai/reinforcementlearnin196,Reinforcement Learning for Game Playing,Noah Miller | T. Smith | A. Moore | Z. White,AAAI,2024,Conference Paper,10.6419/280296,https://dblp.org/rec/conf/aaai/reinforcementlearnin196,,Reinforcement Learning for Game Playing,Noah Miller | T. Smith | A. Moore | Z. White,Noah Miller,Reinforcement Learning for Game Playing Noah Miller
conf/empirical /knowledgegraphembedd462,Knowledge Graph Embeddings,Z. Davis | K. Lee | Carol Lopez,Empirical Methods in Natural Language Processing,2022,Conference Paper,10.7676/457905,https://dblp.org/rec/conf/empirical /knowledgegraphembedd462,https://doi.org/10.9402/861748,Knowledge Graph Embeddings,Z. Davis | K. Lee | Carol Lopez,Z. Davis,Knowledge Graph Embeddings Z. Davis
conf/kdd/bert:pre-trainingfor250,BERT: Pre-training for Language Understanding,I. Johnson,KDD,2021,Conference Paper,10.3165/133838,https://dblp.org/rec/conf/kdd/bert:pre-trainingfor250,,BERT: Pre-training for Language Understanding,I. Johnson,I. Johnson,BERT: Pre-training for Language Understanding I. Johnson
conf/cvpr/attentionmechanismsi128,Attention Mechanisms in Neural Machine Translation,Henry Hernandez | Quinn Gonzalez | Kate Williams,CVPR,2021,Conference Paper,10.6771/431891,https://dblp.org/rec/conf/cvpr/attentionmechanismsi128,https://doi.org/10.2746/152364,Attention Mechanisms in Neural Machine Translation,Henry Hernandez | Quinn Gonzalez | Kate Williams,Henry Hernandez,Attention Mechanisms in Neural Machine Translation Henry Hernandez
conf/cvpr/generativeadversaria164,Generative Adversarial Networks: A Survey,Bob White | Sam Garcia | W. Anderson | Emma Moore,CVPR,2022,Conference Paper,10.6856/592147,https://dblp.org/rec/conf/cvpr/generativeadversaria164,https://doi.org/10.9693/680890,Generative Adversarial Networks: A Survey,Bob White | Sam Garcia | W. Anderson | Emma Moore,Bob White,Generative Adversarial Networks: A Survey Bob White
conf/sigir/neuralnetworksforima40,Neural Networks for Image Recognition,Sam Martin | J. Perez,SIGIR,2020,Conference Paper,,https://dblp.org/rec/conf/sigir/neuralnetworksforima40,https://doi.org/10.7683/121863,Neural Networks for Image Recognition,Sam Martin | J. Perez,Sam Martin,Neural Networks for Image Recognition Sam Martin
conf/ijcai/neuralnetworksforima35,Neural Networks for Image Recognition,Yara Miller | I. Thompson,IJCAI,2021,Conference Paper,10.8609/167449,https://dblp.org/rec/conf/ijcai/neuralnetworksforima35,https://doi.org/10.3059/896383,Neural Networks for Image Recognition,Yara Miller | I. Thompson,Yara Miller,Neural Networks for Image Recognition Yara Miller
conf/sigir/anomalydetectionusin429,Anomaly Detection using Machine Learning,Zack Martin | David Martinez | Victor Lopez,SIGIR,2020,Conference Paper,10.5773/896963,https://dblp.org/rec/conf/sigir/anomalydetectionusin429,https://doi.org/10.8307/533047,Anomaly Detection using Machine Learning,Zack Martin | David Martinez | Victor Lopez,Zack Martin,Anomaly Detection using Machine Learning Zack Martin
conf/aaai/knowledgegraphembedd465,Knowledge Graph Embeddings,Sam Martin | Zack Lopez | R. Clark | M. Jones,AAAI,2024,Conference Paper,10.4803/817972,https://dblp.org/rec/conf/aaai/knowledgegraphembedd465,https://doi.org/10.9584/498631,Knowledge Graph Embeddings,Sam Martin | Zack Lopez | R. Clark | M. Jones,Sam Martin,Knowledge Graph Embeddings Sam Martin
conf/ijcai/timeseriesforecastin396,Time Series Forecasting with Deep Learning,A. Thomas | Kate Smith | David Lee | Xavier Harris,IJCAI,2022,Conference Paper,,https://dblp.org/rec/conf/ijcai/timeseriesforecastin396,https://doi.org/10.2872/698219,Time Series Forecasting with Deep Learning,A. Thomas | Kate Smith | David Lee | Xavier Harris,A. Thomas,Time Series Forecasting with Deep Learning A. Thomas
conf/acl/bert:pre-trainingfor251,BERT: Pre-training for Language Understanding,Henry Wilson | M. Johnson,ACL,2024,Conference Paper,10.4864/789774,https://dblp.org/rec/conf/acl/bert:pre-trainingfor251,https://doi.org/10.9495/381109,BERT: Pre-training for Language Understanding,Henry Wilson | M. Johnson,Henry Wilson,BERT: Pre-training for Language Understanding Henry Wilson
conf/acl/asurveyofdeeplearnin78,A Survey of Deep Learning Techniques,Olivia Harris | Uma Clark,ACL,2023,Conference Paper,10.8824/263641,https://dblp.org/rec/conf/acl/asurveyofdeeplearnin78,https://doi.org/10.8669/325078,A Survey of Deep Learning Techniques,Olivia Harris | Uma Clark,Olivia Harris,A Survey of Deep Learning Techniques Olivia Harris
conf/computer v/recommendationsystem439,RECOMMENDATION SYSTEMS WITH COLLABORATIVE FILTERING,Grace Davis | P. Rodriguez,Computer Vision and Pattern Recognition,2020,Conference Paper,,https://dblp.org/rec/conf/computer v/recommendationsystem439,https://doi.org/10.8065/219020,RECOMMENDATION SYSTEMS WITH COLLABORATIVE FILTERING,Grace Davis | P. Rodriguez,Grace Davis,RECOMMENDATION SYSTEMS WITH COLLABORATIVE FILTERING Grace Davis
conf/emnlp/transferlearningforc141,Transfer Learning for Computer Vision Tasks,Tina Martinez | Victor Jones | Sam Martinez,EMNLP,2024,Conference Paper,10.7489/947342,https://dblp.org/rec/conf/emnlp/transferlearningforc141,https://doi.org/10.4006/368262,Transfer Learning for Computer Vision Tasks,Tina Martinez | Victor Jones | Sam Martinez,Tina Martinez,Transfer Learning for Computer Vision Tasks Tina Martinez
conf/www/generativeadversaria170,Generative Adversarial Networks: A Survey,Yara White | Sam Martinez | John Lopez,WWW,2023,Conference Paper,10.9619/806671,https://dblp.org/rec/conf/www/generativeadversaria170,https://doi.org/10.5453/526081,Generative Adversarial Networks: A Survey,Yara White | Sam Martinez | John Lopez,Yara White,Generative Adversarial Networks: A Survey Yara White
conf/ieee trans/imagesegmentationusi583,Image Segmentation using U-Net,Emma Lee | Kate Rodriguez | Wendy Clark,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,Conference Paper,10.5147/825537,https://dblp.org/rec/conf/ieee trans/imagesegmentationusi583,,Image Segmentation using U-Net,Emma Lee | Kate Rodriguez | Wendy Clark,Emma Lee,Image Segmentation using U-Net Emma Lee
conf/emnlp/timeseriesforecastin401,Time Series Forecasting with Deep Learning,X. Clark | P. Jones | Frank Rodriguez | Bob Garcia,EMNLP,2023,Conference Paper,10.1393/780749,https://dblp.org/rec/conf/emnlp/timeseriesforecastin401,https://doi.org/10.5813/550746,Time Series Forecasting with Deep Learning,X. Clark | P. Jones | Frank Rodriguez | Bob Garcia,X. Clark,Time Series Forecasting with Deep Learning X. Clark
conf/ieee trans/speechrecognitionwit562,Speech Recognition with Deep Learning,Y. Williams,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,Conference Paper,10.5171/993898,https://dblp.org/rec/conf/ieee trans/speechrecognitionwit562,https://doi.org/10.5897/165547,Speech Recognition with Deep Learning,Y. Williams,Y. Williams,Speech Recognition with Deep Learning Y. Williams
